City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ushuaia,-54.8,-68.3,279.96,96,40,12.52,AR,1697171524
146,arraial do cabo,-22.9661,-42.0278,295.29,97,100,5.96,BR,1697171661
147,snagov,44.7,26.1833,288.53,87,0,2.57,RO,1697171661
148,najaf,31.9985,44.3398,302.41,30,0,4.01,IQ,1697171661
149,kone,-21.0595,164.8658,297.2,66,68,1.57,NC,1697171661
150,gazli,40.1333,63.45,282.99,57,38,3.47,UZ,1697171661
151,la'ie,21.6477,-157.9253,301.13,73,1,2.68,US,1697171661
152,afaahiti,-17.75,-149.2833,300.08,81,12,7.01,PF,1697171661
153,panuco,22.05,-98.1667,301.25,96,22,2.47,MX,1697171661
154,enewetak,11.3474,162.3373,301.82,67,59,5.14,MH,1697171661
155,udachny,66.4167,112.4,265.07,85,97,1.44,RU,1697171661
156,kabinda,-6.1333,24.4833,296.58,67,84,0.83,CD,1697171661
157,maracacume,-2.0428,-45.9592,296.19,96,58,1.5,BR,1697171661
158,cabedelo,-6.9811,-34.8339,299.52,84,8,5.59,BR,1697171662
159,tolanaro,-25.0319,46.9987,295.77,92,100,5.72,MG,1697171662
160,kavaratti,10.5669,72.642,301.21,73,88,1.42,IN,1697171662
161,lae,-6.7221,146.9847,304.52,77,33,3.26,PG,1697171662
162,yanykurgan,43.915,67.2481,280.21,82,100,10.29,KZ,1697171662
163,college,64.8569,-147.8028,273.12,72,75,2.57,US,1697171662
164,myitkyina,25.3833,97.4,300.68,70,100,0.46,MM,1697171662
165,el porvenir,13.7617,-87.3458,297.78,98,88,0.31,HN,1697171662
166,wenling,28.3669,121.36,295.51,77,86,1.34,CN,1697171662
167,ndele,8.4109,20.6473,295.84,90,89,0.43,CF,1697171662
168,taltal,-25.4,-70.4833,288.97,76,0,1.79,CL,1697171663
169,coquimbo,-29.9533,-71.3436,286.0,94,0,3.09,CL,1697171491
170,reggane,26.7158,0.1714,297.55,25,18,3.42,DZ,1697171663
171,shakhtersk,48.0625,38.5167,279.49,67,95,2.72,UA,1697171663
172,kayyerkan,69.3786,87.7439,272.76,100,98,1.13,RU,1697171663
173,kingaroy,-26.5333,151.8333,302.77,19,0,6.02,AU,1697171663
174,tiksi,71.6872,128.8694,268.69,96,100,2.37,RU,1697171663
